"","titulo","diretor","sinopse","genero","duracao","paises","ano","mostra","dia","data","hora","local","bairro","hora_fim"
"11","A costureira de sonhos","Rohena Gera","<U+200B>Ratna trabalha como empregada doméstica na
casa de Ashwin, membro de uma família rica. Aparentemente, ele tem tudo o que precisa, mas ela intui que o patrão desistiu de seus sonhos e está um tanto perdido. Ratna, por outro lado, tem origem pobre, parece não ter nada, mas é cheia de 
esperanças e trabalha com determinação para 
realizar o sonho de se tornar uma designer de moda. Uma súbita conexão entre eles aproxima dois 
mundos distintos, mas as barreiras entre ambos parecem cada vez mais intransponíveis. Exibido no Festival de Cannes 2018.<U+200B>","Ficção/Fiction",99,"Índia / França",2018,"Expectativa 2018","Sexta",2018-11-02,13:30:00,"Estação NET Rio 3","Botafogo",15:09:00
"12","A costureira de sonhos","Rohena Gera","<U+200B>Ratna trabalha como empregada doméstica na
casa de Ashwin, membro de uma família rica. Aparentemente, ele tem tudo o que precisa, mas ela intui que o patrão desistiu de seus sonhos e está um tanto perdido. Ratna, por outro lado, tem origem pobre, parece não ter nada, mas é cheia de 
esperanças e trabalha com determinação para 
realizar o sonho de se tornar uma designer de moda. Uma súbita conexão entre eles aproxima dois 
mundos distintos, mas as barreiras entre ambos parecem cada vez mais intransponíveis. Exibido no Festival de Cannes 2018.<U+200B>","Ficção/Fiction",99,"Índia / França",2018,"Expectativa 2018","Sábado",2018-11-03,18:50:00,"Estação NET Gávea 4","Gávea",20:29:00
"13","A costureira de sonhos","Rohena Gera","<U+200B>Ratna trabalha como empregada doméstica na
casa de Ashwin, membro de uma família rica. Aparentemente, ele tem tudo o que precisa, mas ela intui que o patrão desistiu de seus sonhos e está um tanto perdido. Ratna, por outro lado, tem origem pobre, parece não ter nada, mas é cheia de 
esperanças e trabalha com determinação para 
realizar o sonho de se tornar uma designer de moda. Uma súbita conexão entre eles aproxima dois 
mundos distintos, mas as barreiras entre ambos parecem cada vez mais intransponíveis. Exibido no Festival de Cannes 2018.<U+200B>","Ficção/Fiction",99,"Índia / França",2018,"Expectativa 2018","Quarta",2018-11-07,19:30:00,"Estação NET Rio 5","Botafogo",21:09:00
"14","A costureira de sonhos","Rohena Gera","<U+200B>Ratna trabalha como empregada doméstica na
casa de Ashwin, membro de uma família rica. Aparentemente, ele tem tudo o que precisa, mas ela intui que o patrão desistiu de seus sonhos e está um tanto perdido. Ratna, por outro lado, tem origem pobre, parece não ter nada, mas é cheia de 
esperanças e trabalha com determinação para 
realizar o sonho de se tornar uma designer de moda. Uma súbita conexão entre eles aproxima dois 
mundos distintos, mas as barreiras entre ambos parecem cada vez mais intransponíveis. Exibido no Festival de Cannes 2018.<U+200B>","Ficção/Fiction",99,"Índia / França",2018,"Expectativa 2018","Sábado",2018-11-10,14:10:00,"Reserva Cultural Niterói 1","Niterói",15:49:00
"15","A costureira de sonhos","Rohena Gera","<U+200B>Ratna trabalha como empregada doméstica na
casa de Ashwin, membro de uma família rica. Aparentemente, ele tem tudo o que precisa, mas ela intui que o patrão desistiu de seus sonhos e está um tanto perdido. Ratna, por outro lado, tem origem pobre, parece não ter nada, mas é cheia de 
esperanças e trabalha com determinação para 
realizar o sonho de se tornar uma designer de moda. Uma súbita conexão entre eles aproxima dois 
mundos distintos, mas as barreiras entre ambos parecem cada vez mais intransponíveis. Exibido no Festival de Cannes 2018.<U+200B>","Ficção/Fiction",99,"Índia / França",2018,"Expectativa 2018","Domingo",2018-11-11,17:30:00,"Estação NET Ipanema 2","Ipanema",19:09:00
"16","A Camareira","Lila Avilés","<U+200B>Eve é uma jovem camareira que trabalha em um dos hotéis mais luxuosos da Cidade do México, com hóspedes tão ricos que só consegue imaginar suas vidas através de fantasias íntimas com os pertences que deixam para trás. Turnos longos e cansativos impedem que Eve cuide de seu filho, mas ela acredita que sua situação irá melhorar se for promovida para suítes de nível executivo, com agenda mais pesada. Com esse objetivo, ela também se inscreve no programa de educação para adultos do hotel. Duas improváveis relações no trabalho a ajudam a encontrar a coragem que tanto busca.<U+200B>","Ficção/Fiction",102,"México",2018,"Première Latina","Sexta",2018-11-02,13:45:00,"Estação NET Gávea 1","Gávea",15:27:00
"17","A Camareira","Lila Avilés","<U+200B>Eve é uma jovem camareira que trabalha em um dos hotéis mais luxuosos da Cidade do México, com hóspedes tão ricos que só consegue imaginar suas vidas através de fantasias íntimas com os pertences que deixam para trás. Turnos longos e cansativos impedem que Eve cuide de seu filho, mas ela acredita que sua situação irá melhorar se for promovida para suítes de nível executivo, com agenda mais pesada. Com esse objetivo, ela também se inscreve no programa de educação para adultos do hotel. Duas improváveis relações no trabalho a ajudam a encontrar a coragem que tanto busca.<U+200B>","Ficção/Fiction",102,"México",2018,"Première Latina","Sábado",2018-11-03,13:30:00,"Estação NET Rio 5","Botafogo",15:12:00
"18","A Camareira","Lila Avilés","<U+200B>Eve é uma jovem camareira que trabalha em um dos hotéis mais luxuosos da Cidade do México, com hóspedes tão ricos que só consegue imaginar suas vidas através de fantasias íntimas com os pertences que deixam para trás. Turnos longos e cansativos impedem que Eve cuide de seu filho, mas ela acredita que sua situação irá melhorar se for promovida para suítes de nível executivo, com agenda mais pesada. Com esse objetivo, ela também se inscreve no programa de educação para adultos do hotel. Duas improváveis relações no trabalho a ajudam a encontrar a coragem que tanto busca.<U+200B>","Ficção/Fiction",102,"México",2018,"Première Latina","Domingo",2018-11-11,19:30:00,"Estação NET Rio 5","Botafogo",21:12:00
"19","Westwood - punk, ícone, ativista","Lorna Tucker","<U+200B>A estilista inglesa Vivienne Westwood foi responsável por levar a moda punk aos holofotes. O filme mostra sua luta pelo sucesso, sua arte, seu ativismo contínuo e importância cultural. Com arquivos icônicos e 
filmagens recentes, a história que definiu uma era é contada nas próprias palavras de Vivienne, através de entrevistas com familiares, amigos e colaboradores. O primeiro filme a abranger a história notável de um dos verdadeiros ícones do nosso tempo, enquanto ela luta para manter a integridade de seu legado. Indicado ao Grande Prêmio do Júri no Festival de Sundance.","Documentário/Documentary",78,"Reino Unido",2018,"Itinerários Únicos","Sexta",2018-11-02,13:45:00,"Estação NET Rio 4","Botafogo",15:03:00
"20","Westwood - punk, ícone, ativista","Lorna Tucker","<U+200B>A estilista inglesa Vivienne Westwood foi responsável por levar a moda punk aos holofotes. O filme mostra sua luta pelo sucesso, sua arte, seu ativismo contínuo e importância cultural. Com arquivos icônicos e 
filmagens recentes, a história que definiu uma era é contada nas próprias palavras de Vivienne, através de entrevistas com familiares, amigos e colaboradores. O primeiro filme a abranger a história notável de um dos verdadeiros ícones do nosso tempo, enquanto ela luta para manter a integridade de seu legado. Indicado ao Grande Prêmio do Júri no Festival de Sundance.","Documentário/Documentary",78,"Reino Unido",2018,"Itinerários Únicos","Domingo",2018-11-04,21:30:00,"Estação NET Rio 4","Botafogo",22:48:00
"21","Westwood - punk, ícone, ativista","Lorna Tucker","<U+200B>A estilista inglesa Vivienne Westwood foi responsável por levar a moda punk aos holofotes. O filme mostra sua luta pelo sucesso, sua arte, seu ativismo contínuo e importância cultural. Com arquivos icônicos e 
filmagens recentes, a história que definiu uma era é contada nas próprias palavras de Vivienne, através de entrevistas com familiares, amigos e colaboradores. O primeiro filme a abranger a história notável de um dos verdadeiros ícones do nosso tempo, enquanto ela luta para manter a integridade de seu legado. Indicado ao Grande Prêmio do Júri no Festival de Sundance.","Documentário/Documentary",78,"Reino Unido",2018,"Itinerários Únicos","Quinta",2018-11-08,14:00:00,"Instituto Moreira Salles","Gávea",15:18:00
"22","A queda do império americano","Denys Arcand","<U+200B>O intelectual Pierre-Paul Daoust, de 36 anos, é forçado a trabalhar como entregador para ter uma vida decente. Um dia, enquanto entrega um pacote, ele se vê no meio de um assalto tragicamente frustrado: dois mortos e milhões em sacos de dinheiro deixados no chão. Pierre-Paul se vê diante de um 
dilema: sair de mãos vazias ou pegar o dinheiro e fugir? O novo filme do diretor de Invasões bárbaras e Declínio do império americano faz uma análise espirituosa, e comovente, da predominância do dinheiro numa sociedade em que todos os demais valores parecem ter se desintegrado.<U+200B>","Ficção/Fiction",127,"Canadá",2018,"Panorama do Cinema Mundial","Sexta",2018-11-02,13:45:00,"Kinoplex São Luiz 2","Catete",15:52:00
"23","A queda do império americano","Denys Arcand","<U+200B>O intelectual Pierre-Paul Daoust, de 36 anos, é forçado a trabalhar como entregador para ter uma vida decente. Um dia, enquanto entrega um pacote, ele se vê no meio de um assalto tragicamente frustrado: dois mortos e milhões em sacos de dinheiro deixados no chão. Pierre-Paul se vê diante de um 
dilema: sair de mãos vazias ou pegar o dinheiro e fugir? O novo filme do diretor de Invasões bárbaras e Declínio do império americano faz uma análise espirituosa, e comovente, da predominância do dinheiro numa sociedade em que todos os demais valores parecem ter se desintegrado.<U+200B>","Ficção/Fiction",127,"Canadá",2018,"Panorama do Cinema Mundial","Sexta",2018-11-02,18:45:00,"Kinoplex São Luiz 2","Catete",20:52:00
"24","A queda do império americano","Denys Arcand","<U+200B>O intelectual Pierre-Paul Daoust, de 36 anos, é forçado a trabalhar como entregador para ter uma vida decente. Um dia, enquanto entrega um pacote, ele se vê no meio de um assalto tragicamente frustrado: dois mortos e milhões em sacos de dinheiro deixados no chão. Pierre-Paul se vê diante de um 
dilema: sair de mãos vazias ou pegar o dinheiro e fugir? O novo filme do diretor de Invasões bárbaras e Declínio do império americano faz uma análise espirituosa, e comovente, da predominância do dinheiro numa sociedade em que todos os demais valores parecem ter se desintegrado.<U+200B>","Ficção/Fiction",127,"Canadá",2018,"Panorama do Cinema Mundial","Domingo",2018-11-04,15:30:00,"Estação NET Gávea 1","Gávea",17:37:00
"25","A queda do império americano","Denys Arcand","<U+200B>O intelectual Pierre-Paul Daoust, de 36 anos, é forçado a trabalhar como entregador para ter uma vida decente. Um dia, enquanto entrega um pacote, ele se vê no meio de um assalto tragicamente frustrado: dois mortos e milhões em sacos de dinheiro deixados no chão. Pierre-Paul se vê diante de um 
dilema: sair de mãos vazias ou pegar o dinheiro e fugir? O novo filme do diretor de Invasões bárbaras e Declínio do império americano faz uma análise espirituosa, e comovente, da predominância do dinheiro numa sociedade em que todos os demais valores parecem ter se desintegrado.<U+200B>","Ficção/Fiction",127,"Canadá",2018,"Panorama do Cinema Mundial","Sábado",2018-11-10,21:20:00,"Estação NET Ipanema 1","Ipanema",23:27:00
"26","Meu querido filho","Mohamed Ben Attia","<U+200B>Riadh está perto de se aposentar no trabalho como operador de empilhadeira no porto de Túnis, capital da Tunísia. A vida que divide com a mulher Nazli gira em torno do filho único do casal, Sami, que está se preparando para os exames do ensino médio. O jovem é vítima de constantes crises de enxaqueca, o que preocupa bastante seus pais. Quando começa a dar sinais de que está se sentindo melhor, Sami desaparece de repente. Sua intenção, logo se 
descobre, é juntar-se a militantes terroristas do ISIS na Síria. Exibido no Festival de Cannes 2018. <U+200B>","Ficção/Fiction",100,"Tunísia / Bélgica / França / Catar",2018,"Expectativa 2018","Sexta",2018-11-02,14:00:00,"Reserva Cultural Niterói 1","Niterói",15:40:00
"27","Meu querido filho","Mohamed Ben Attia","<U+200B>Riadh está perto de se aposentar no trabalho como operador de empilhadeira no porto de Túnis, capital da Tunísia. A vida que divide com a mulher Nazli gira em torno do filho único do casal, Sami, que está se preparando para os exames do ensino médio. O jovem é vítima de constantes crises de enxaqueca, o que preocupa bastante seus pais. Quando começa a dar sinais de que está se sentindo melhor, Sami desaparece de repente. Sua intenção, logo se 
descobre, é juntar-se a militantes terroristas do ISIS na Síria. Exibido no Festival de Cannes 2018. <U+200B>","Ficção/Fiction",100,"Tunísia / Bélgica / França / Catar",2018,"Expectativa 2018","Sábado",2018-11-03,21:00:00,"Estação NET Rio 3","Botafogo",22:40:00
"28","Meu querido filho","Mohamed Ben Attia","<U+200B>Riadh está perto de se aposentar no trabalho como operador de empilhadeira no porto de Túnis, capital da Tunísia. A vida que divide com a mulher Nazli gira em torno do filho único do casal, Sami, que está se preparando para os exames do ensino médio. O jovem é vítima de constantes crises de enxaqueca, o que preocupa bastante seus pais. Quando começa a dar sinais de que está se sentindo melhor, Sami desaparece de repente. Sua intenção, logo se 
descobre, é juntar-se a militantes terroristas do ISIS na Síria. Exibido no Festival de Cannes 2018. <U+200B>","Ficção/Fiction",100,"Tunísia / Bélgica / França / Catar",2018,"Expectativa 2018","Domingo",2018-11-04,17:20:00,"Estação NET Ipanema 2","Ipanema",19:00:00
"29","Meu querido filho","Mohamed Ben Attia","<U+200B>Riadh está perto de se aposentar no trabalho como operador de empilhadeira no porto de Túnis, capital da Tunísia. A vida que divide com a mulher Nazli gira em torno do filho único do casal, Sami, que está se preparando para os exames do ensino médio. O jovem é vítima de constantes crises de enxaqueca, o que preocupa bastante seus pais. Quando começa a dar sinais de que está se sentindo melhor, Sami desaparece de repente. Sua intenção, logo se 
descobre, é juntar-se a militantes terroristas do ISIS na Síria. Exibido no Festival de Cannes 2018. <U+200B>","Ficção/Fiction",100,"Tunísia / Bélgica / França / Catar",2018,"Expectativa 2018","Sexta",2018-11-09,17:10:00,"Estação NET Gávea 4","Gávea",18:50:00
"30","O quebra-cabeça","Marc Turtletaub","<U+200B>Um retrato minucioso de Agnes, que chegou aos 40 anos sem nunca se aventurar muito longe de casa, da família ou da unida comunidade de imigrantes em que foi criada pelo pai viúvo. Isso começa a mudar de forma silenciosamente dramática quando ela ganha um quebra-cabeça de presente de aniversário. Após anos se preocupando exclusivamente com as necessidades e desejos do marido, Louie, e dos filhos, Ziggy e Gabe, Agnes vai deixar a sua bolha doméstica para se dedicar ao seu novo passatempo, experimentando a emoção de fazer algo que ela gosta e ser muito boa nisso. Sundance 2018.<U+200B>","Ficção/Fiction",103,"Estados Unidos",2018,"Expectativa 2018","Sexta",2018-11-02,14:00:00,"Kinoplex São Luiz 1","Catete",15:43:00
"31","O quebra-cabeça","Marc Turtletaub","<U+200B>Um retrato minucioso de Agnes, que chegou aos 40 anos sem nunca se aventurar muito longe de casa, da família ou da unida comunidade de imigrantes em que foi criada pelo pai viúvo. Isso começa a mudar de forma silenciosamente dramática quando ela ganha um quebra-cabeça de presente de aniversário. Após anos se preocupando exclusivamente com as necessidades e desejos do marido, Louie, e dos filhos, Ziggy e Gabe, Agnes vai deixar a sua bolha doméstica para se dedicar ao seu novo passatempo, experimentando a emoção de fazer algo que ela gosta e ser muito boa nisso. Sundance 2018.<U+200B>","Ficção/Fiction",103,"Estados Unidos",2018,"Expectativa 2018","Sexta",2018-11-02,19:00:00,"Kinoplex São Luiz 1","Catete",20:43:00
"32","O quebra-cabeça","Marc Turtletaub","<U+200B>Um retrato minucioso de Agnes, que chegou aos 40 anos sem nunca se aventurar muito longe de casa, da família ou da unida comunidade de imigrantes em que foi criada pelo pai viúvo. Isso começa a mudar de forma silenciosamente dramática quando ela ganha um quebra-cabeça de presente de aniversário. Após anos se preocupando exclusivamente com as necessidades e desejos do marido, Louie, e dos filhos, Ziggy e Gabe, Agnes vai deixar a sua bolha doméstica para se dedicar ao seu novo passatempo, experimentando a emoção de fazer algo que ela gosta e ser muito boa nisso. Sundance 2018.<U+200B>","Ficção/Fiction",103,"Estados Unidos",2018,"Expectativa 2018","Sábado",2018-11-03,19:00:00,"Reserva Cultural Niterói 1","Niterói",20:43:00
"33","O quebra-cabeça","Marc Turtletaub","<U+200B>Um retrato minucioso de Agnes, que chegou aos 40 anos sem nunca se aventurar muito longe de casa, da família ou da unida comunidade de imigrantes em que foi criada pelo pai viúvo. Isso começa a mudar de forma silenciosamente dramática quando ela ganha um quebra-cabeça de presente de aniversário. Após anos se preocupando exclusivamente com as necessidades e desejos do marido, Louie, e dos filhos, Ziggy e Gabe, Agnes vai deixar a sua bolha doméstica para se dedicar ao seu novo passatempo, experimentando a emoção de fazer algo que ela gosta e ser muito boa nisso. Sundance 2018.<U+200B>","Ficção/Fiction",103,"Estados Unidos",2018,"Expectativa 2018","Domingo",2018-11-04,14:30:00,"Estação NET Gávea 4","Gávea",16:13:00
"34","O quebra-cabeça","Marc Turtletaub","<U+200B>Um retrato minucioso de Agnes, que chegou aos 40 anos sem nunca se aventurar muito longe de casa, da família ou da unida comunidade de imigrantes em que foi criada pelo pai viúvo. Isso começa a mudar de forma silenciosamente dramática quando ela ganha um quebra-cabeça de presente de aniversário. Após anos se preocupando exclusivamente com as necessidades e desejos do marido, Louie, e dos filhos, Ziggy e Gabe, Agnes vai deixar a sua bolha doméstica para se dedicar ao seu novo passatempo, experimentando a emoção de fazer algo que ela gosta e ser muito boa nisso. Sundance 2018.<U+200B>","Ficção/Fiction",103,"Estados Unidos",2018,"Expectativa 2018","Terça",2018-11-06,16:45:00,"Estação NET Ipanema 2","Ipanema",18:28:00
"35","Belmonte","Federico Veiroj","Belmonte, um pintor interessado em retratar o ser humano, prepara uma exposição no Museu de Artes Visuais de Montevidéu. Mas ele está mais preocupado com as mudanças em sua família: sua ex-mulher está grávida de outro homem e ele se dá conta de que sua filha, Celeste, vai passar menos tempo com ele 
quando o irmão nascer. Belmonte precisa cuidar da filha, preparar-lhe o almoço, leva-la à escola e, acima de tudo, começar a dividir com ela o seu mundo interior, revelando-lhe até mesmo as suas preocupações de um homem adulto. Toronto e San Sebastián 2018.","Ficção/Fiction",75,"Uruguai / México / Espanha",2018,"Première Latina","Sexta",2018-11-02,14:00:00,"Estação NET Gávea 5","Gávea",15:15:00
"36","Belmonte","Federico Veiroj","Belmonte, um pintor interessado em retratar o ser humano, prepara uma exposição no Museu de Artes Visuais de Montevidéu. Mas ele está mais preocupado com as mudanças em sua família: sua ex-mulher está grávida de outro homem e ele se dá conta de que sua filha, Celeste, vai passar menos tempo com ele 
quando o irmão nascer. Belmonte precisa cuidar da filha, preparar-lhe o almoço, leva-la à escola e, acima de tudo, começar a dividir com ela o seu mundo interior, revelando-lhe até mesmo as suas preocupações de um homem adulto. Toronto e San Sebastián 2018.","Ficção/Fiction",75,"Uruguai / México / Espanha",2018,"Première Latina","Sábado",2018-11-03,17:30:00,"Estação NET Ipanema 1","Ipanema",18:45:00
"37","Belmonte","Federico Veiroj","Belmonte, um pintor interessado em retratar o ser humano, prepara uma exposição no Museu de Artes Visuais de Montevidéu. Mas ele está mais preocupado com as mudanças em sua família: sua ex-mulher está grávida de outro homem e ele se dá conta de que sua filha, Celeste, vai passar menos tempo com ele 
quando o irmão nascer. Belmonte precisa cuidar da filha, preparar-lhe o almoço, leva-la à escola e, acima de tudo, começar a dividir com ela o seu mundo interior, revelando-lhe até mesmo as suas preocupações de um homem adulto. Toronto e San Sebastián 2018.","Ficção/Fiction",75,"Uruguai / México / Espanha",2018,"Première Latina","Segunda",2018-11-05,16:15:00,"Estação NET Rio 5","Botafogo",17:30:00
"38","Belmonte","Federico Veiroj","Belmonte, um pintor interessado em retratar o ser humano, prepara uma exposição no Museu de Artes Visuais de Montevidéu. Mas ele está mais preocupado com as mudanças em sua família: sua ex-mulher está grávida de outro homem e ele se dá conta de que sua filha, Celeste, vai passar menos tempo com ele 
quando o irmão nascer. Belmonte precisa cuidar da filha, preparar-lhe o almoço, leva-la à escola e, acima de tudo, começar a dividir com ela o seu mundo interior, revelando-lhe até mesmo as suas preocupações de um homem adulto. Toronto e San Sebastián 2018.","Ficção/Fiction",75,"Uruguai / México / Espanha",2018,"Première Latina","Quarta",2018-11-07,18:00:00,"Estação NET Rio 5","Botafogo",19:15:00
"39","O preço de tudo","Nathaniel Kahn","<U+200B>Será que estamos em meio a uma crise artística? O valor da arte pode mesmo ser medido em moeda? Como esses valores são estabelecidos e quem os estabelece? O mercado da arte tem efeito inibidor nos grandes museus e na dedicação de seu público? E o mais importante: o que essa nova abordagem de consumo significa para os artistas? O documentário explora estas questões e desmistifica o mundo da arte contemporânea. Conversas com artistas, comerciantes e colecionadores revelam um mundo oculto onde nada é o que parece. Indicado ao Grande Prêmio do Júri no Festival Sundance.<U+200B>","Documentário/Documentary",105,"Estados Unidos",2018,"Itinerários Únicos","Sexta",2018-11-02,14:00:00,"Estação NET Rio 5","Botafogo",15:45:00
"40","O preço de tudo","Nathaniel Kahn","<U+200B>Será que estamos em meio a uma crise artística? O valor da arte pode mesmo ser medido em moeda? Como esses valores são estabelecidos e quem os estabelece? O mercado da arte tem efeito inibidor nos grandes museus e na dedicação de seu público? E o mais importante: o que essa nova abordagem de consumo significa para os artistas? O documentário explora estas questões e desmistifica o mundo da arte contemporânea. Conversas com artistas, comerciantes e colecionadores revelam um mundo oculto onde nada é o que parece. Indicado ao Grande Prêmio do Júri no Festival Sundance.<U+200B>","Documentário/Documentary",105,"Estados Unidos",2018,"Itinerários Únicos","Domingo",2018-11-04,14:00:00,"Estação NET Gávea 2","Gávea",15:45:00
